Ride ID,Timestamp,Ride Duration (minutes),Distance Traveled (km),Battery Start Percentage (%),Battery End Percentage (%),Average Speed (km/h),Elevation (%),Temperature (°C),Traffic,Load Weight (kg),Route Type,Energy Consumed (Wh),Battery Health Status,Efficiency (Wh/km),Range Estimation (km)
3430,2025-01-18 03:39:00,201.72440714183574,81.82491974850956,22,77,17.55758718576515,13.0,46.166414352046104,High,0.6344446377720993,Hilly,1619.0806035866883,Healthy,19.60299546396493,107.430861720325
7775,2025-07-17 15:40:00,226.34037640270063,7.980389918004617,81,63,33.82325860036236,-2.1,47.69392143473297,Medium,117.76776568361122,Urban,376.3352022838548,Aging,53.29087316410767,77.46131535074194
8180,2025-03-21 07:55:00,156.51529029281204,22.88139506203016,74,66,23.123845805116105,12.5,26.63083468658977,Low,239.367543462222,Rural,933.1622298919024,Aging,49.11697798063816,83.14617967428181
706,2025-08-04 00:19:00,192.664188316031,55.630137304500494,34,94,32.628529917497836,-3.6,14.233649456222512,High,82.59622541156929,Rural,1237.7605481030316,Healthy,22.615362007156612,131.19134042845505
9135,2025-08-01 23:43:00,159.30300497567282,77.8771037805475,44,42,31.970557444205344,-0.4,33.69552123752797,High,68.33434659516362,Urban,1677.1592276437862,Aging,24.891017333109268,58.803448229338024
1863,2025-11-23 00:03:00,217.94309295060526,44.69501386261153,68,65,40.0731438185909,5.5,49.3935106717249,High,1.6503110554177212,Urban,915.5162900462312,Aging,23.429181413317142,90.1358138352269
1731,2025-10-01 19:46:00,221.57195808704557,16.160161989909945,48,75,21.570613846180194,12.7,25.363427061676738,Low,13.849896337739498,Urban,311.6622252628771,Healthy,20.407768162446622,105.08648228081914
6740,2025-11-01 01:10:00,196.34166449640554,80.52932159611477,23,27,36.07064647373872,-1.7,-7.0276444879506075,Medium,164.04498091274283,Hilly,1896.620630409251,Aging,28.046313175456078,37.03920828766813
6890,2025-12-02 20:02:00,159.54124858949288,27.49000000280678,79,88,17.160347137245108,0.3,35.47870842323309,Medium,55.626607968126905,Urban,705.2841736897451,Healthy,25.397332771309387,120.56837325758993
1145,2025-10-16 01:00:00,48.90855177944758,19.735259706395155,39,22,17.23850761520636,3.8,5.136670591692572,Medium,242.30237375265776,Hilly,865.2558187392377,Healthy,42.47297647625819,28.28063038373175
8172,2025-06-03 06:49:00,63.434578032194636,94.8656481670498,29,48,21.166740119872838,-1.3,7.6467479103023,Medium,40.6114330591834,Rural,1928.2956930113712,Aging,25.276548267087716,65.06466625512653
3435,2025-11-11 05:38:00,43.642348145370015,66.78010648287214,37,45,23.024001429086915,3.4,14.02999010468827,High,116.60968236012366,Urban,1596.3071077122904,Healthy,23.728345810110703,62.1156485684935
5129,2025-11-28 22:47:00,232.13951076288518,96.16324245374035,78,82,38.3045280659041,2.7,-1.6441974548154896,High,50.50542895995969,Urban,2000.0,Aging,25.267265371793677,112.58260977503082
587,2025-05-30 18:28:00,25.45947172979587,53.9175815311289,47,99,36.8734087723304,-0.9,37.148068285259434,High,27.747859850422536,Rural,1156.1555864711397,Healthy,20.692055572343044,138.18214449876587
5793,2025-11-01 03:32:00,66.7684193189573,29.027370630394795,81,78,30.958222866262535,4.5,20.55788540478149,Medium,139.12614838036657,Urban,872.8893810552121,Degraded,45.431419832267956,98.52680723307112
2375,2025-01-20 23:10:00,273.46131196150765,94.95542048073267,39,74,26.144915336890858,-1.5,32.36006754724559,Medium,93.6526648899029,Urban,2000.0,Healthy,21.105414644066382,102.13432915326966
3709,2025-10-29 19:52:00,6.358503887905715,22.56637817603835,34,19,37.51947795973818,-4.2,16.300456891207666,Low,79.19455792485552,Urban,649.9074779295594,Healthy,29.20090455083682,25.032881972118492
1243,2025-10-30 08:00:00,299.0,63.13164105107141,23,73,26.786960124830124,-6.0,16.25551137086692,Medium,114.71160558752143,Hilly,1497.773509451529,Healthy,23.60827830003467,100.50399168997704
2302,2025-09-06 20:28:00,186.5363234329047,39.359342672901015,35,52,32.65185451295133,14.0,12.414871705396056,Medium,221.00617083520078,Hilly,1284.6832527206957,Healthy,32.409836197572076,69.90545869117906
7406,2025-01-05 11:51:00,115.19096772611577,52.432444176149616,33,18,19.241211730837332,-6.1,-0.7083065149104932,Low,8.568803111236486,Urban,1113.145077787733,Healthy,20.599958163608985,24.95323867449807
2421,2025-12-11 00:21:00,262.7205390763642,88.28619466880569,39,31,14.119308221420471,9.5,37.01875058254034,Medium,49.53589123759723,Urban,1886.0745793496249,Healthy,21.022251191389568,42.52487959174239
3816,2025-07-18 06:44:00,232.59862346182263,32.39193625088047,23,10,36.0791588084176,7.3,-5.185375491903824,Medium,31.270205758148958,Hilly,718.6458806347349,Degraded,33.13286479868054,13.091380684426092
3206,2025-07-27 01:57:00,138.97119060148322,28.251509822780207,73,76,24.401599005833695,-0.1,24.841986734139137,High,239.12522786706575,Urban,1092.9945058540334,Healthy,37.160706474364694,99.25182825127244
8268,2025-05-05 05:26:00,101.8702043243182,3.7634848549286297,10,72,30.88222995820157,-3.6,38.82717230281871,Low,212.9643410547426,Urban,480.51039918102913,Healthy,92.33537058565803,74.20029780457308
5764,2025-01-17 21:01:00,62.87361837245191,93.85177095228046,11,76,40.68582628430704,-6.8,33.62244920707436,High,135.79350316065822,Rural,2000.0,Healthy,21.81834492616781,106.28830037692941
6214,2025-11-16 21:55:00,278.95470832023506,3.2366036589496563,46,31,13.728966430583206,-4.3,0.7454895138097326,Medium,73.4627457861315,Urban,240.03468038411748,Healthy,81.687919609515,34.65085179100434
7518,2025-10-17 16:08:00,220.0946641536462,76.7617072296764,20,48,24.296970756780226,-8.2,26.73230137000885,High,76.4323340151338,Urban,1665.655821003079,Healthy,20.843979270401736,66.97926237845176
2030,2025-01-13 04:38:00,87.66141914424395,48.65665550296357,19,20,29.230307963169956,14.2,45.88675842168942,High,228.65210726040988,Urban,1383.2284009614812,Healthy,29.404579908319548,28.05107652771212
8292,2025-03-30 10:38:00,90.481466963215,40.2000966621312,74,71,40.92914585418765,-1.0,1.762064451449294,Low,34.144660678314075,Rural,922.4189382002364,Healthy,22.52753749911275,98.67343633728876
5886,2025-06-13 23:47:00,202.67671355787874,42.96708320799792,97,88,24.038218828692486,-1.4,-0.6723105843037068,Medium,249.87435956933763,Hilly,1361.9708006781518,Degraded,47.380880302224035,111.46429999948262
7890,2025-04-02 22:59:00,255.26056121418966,22.029441597384107,11,34,34.039357882949254,10.4,-9.056871787064619,Medium,129.8993874808459,Hilly,703.2570745611571,Aging,38.01785001465456,43.31987996295475
3239,2025-11-01 07:14:00,214.91572938292717,13.90467095552994,84,78,38.87601034606786,10.8,2.224332532272144,High,194.10126768279343,Hilly,618.3907384973928,Healthy,43.99175607688409,99.6701842470136
4766,2025-04-04 04:04:00,152.34279487314922,47.40640410555876,75,64,24.481003451763478,3.9,18.075666303055275,High,199.91600654420404,Rural,1402.2716990948625,Aging,34.16800753076521,84.59888685886071
5456,2025-10-09 04:13:00,189.09545826207184,31.020792270186377,40,48,23.544689478882223,-5.2,-7.05859451703227,High,98.39176863226957,Urban,835.6534630318813,Healthy,26.208741635902797,65.12103085376728
8653,2025-02-19 05:06:00,158.6868292725815,84.7775472455247,12,46,21.864501053672644,-2.7,-7.405518565022866,Low,37.78140264137022,Urban,1793.868619983246,Healthy,20.08550022452321,64.3188376454796
8666,2025-11-11 00:57:00,111.16393976207968,85.36427008077303,21,74,33.88663079524082,-7.6,-5.789866257005061,Medium,233.54905001350565,Rural,2000.0,Aging,28.688090028142863,100.910241387175
8864,2025-02-11 12:59:00,203.35324618739796,31.65843736118407,61,42,33.92959613935004,0.4,40.74140116712977,High,104.54839648024804,Urban,812.1473270279906,Healthy,25.758207559112833,57.245015720876204
4142,2025-06-24 15:02:00,115.50296225589821,41.52173465480898,48,46,29.220222399876388,-5.7,-3.3107091474761683,Medium,200.33845659789984,Rural,1248.8562853957774,Aging,35.393060568829476,60.79785382746164
3410,2025-03-26 10:14:00,118.53026837900701,97.03668440590536,57,50,19.314565488583874,-4.0,5.321145996801651,Medium,70.93224719492184,Urban,2000.0,Healthy,20.27327610693846,69.25780315801919
6557,2025-10-07 18:00:00,295.4089448290125,57.866456402607994,87,74,38.006920517141424,-2.4,11.110420741068886,Low,33.35951658204351,Hilly,1246.378378635643,Healthy,21.138976696612154,103.79147343294181
7752,2025-09-22 06:38:00,229.8862618700233,85.49270709082192,34,18,35.86669688125805,4.0,26.235055956048626,Medium,39.149077052923616,Urban,1786.1896803531877,Degraded,31.33893463590113,24.409348422286445
2227,2025-04-15 02:01:00,262.9313445171056,77.50888274924657,17,72,20.042885182688018,6.3,11.190433103205548,Medium,209.5221792426886,Hilly,2000.0,Aging,30.96214011101433,97.73898903895434
8848,2025-06-09 12:29:00,138.85415312510335,41.51725449963133,75,73,26.827167692602252,10.0,49.9,Medium,16.175066849644914,Rural,836.9524919805584,Aging,23.936004755004998,99.88004536045452
8188,2025-04-06 18:38:00,45.67812001428541,57.95756166806764,44,55,48.89802146900058,-0.8,14.125244819994219,High,19.02444569706384,Rural,1159.3273956223056,Healthy,19.42460249591103,77.1360976245974
8361,2025-04-08 21:04:00,6.492161199238292,75.33616001777197,12,67,24.59366067172032,6.6,-4.131032536868922,High,116.77143264478273,Hilly,1769.7975570054707,Aging,28.05736831762181,90.86414635736249
3929,2025-06-18 10:53:00,71.66271605454754,80.20705316790362,25,13,34.382816862422,12.0,0.7993729929001159,High,101.93107681409202,Rural,1760.7434074255136,Aging,26.881460487267585,17.997354574711
217,2025-01-30 21:14:00,104.62014844125986,8.288464533171044,24,8,30.754197860993667,8.7,38.91007240926834,Medium,187.85377645886422,Hilly,522.7954408329294,Healthy,65.72429510496194,8.746727365540027
2124,2025-04-11 03:12:00,93.54287200509152,64.88664028372023,22,70,47.01754633689207,7.2,-4.461989270620035,Medium,32.42114144173518,Rural,1372.091080465945,Aging,24.620600139014826,96.37500241543765
1599,2025-08-17 01:28:00,169.22795209758536,75.80891301561957,39,62,15.63379920338482,-7.4,45.51546930457671,High,16.174883456885357,Urban,1545.8463530540096,Healthy,20.954123640609716,86.98137448805836
4555,2025-12-03 22:46:00,204.27662560999238,56.61023622099117,23,78,28.55988230996547,4.0,18.77708225709546,Medium,96.03242669416957,Hilly,1349.3498812026212,Healthy,22.467979807891417,108.11293319619129
